fishing boats,colors of,the rainbow
first cold snap,all the quilts,still at the cleaners
Christmas morning,grandpa explains that yo-yos,don't need batteries
moonless night-,out on the island someone,lays on the horn
ebb tide-,they suddenly have,cold feet
false hope,a film of oil carries,bent rainbows downstream
drip.drip.drip.drip.drip.,the anticipation,of maple syrup
new March snow,the grouse with a missing toe,still around
quick mid-winter thaw,each icicle drips,at its own pace
solo trip,in the campfire smoke,old memories
morning fog,the bluebird's call,clearly audible
night shift--,in the parking lot car lights,dim near morning
rabbit trail,nothing but ears,above the snow
lingering cold...,the last jar of maple syrup,on the cupboard shelf
a dry new year,december snowman begins,to show his age
august wind,on the dock seagulls,stand on two legs
georgia peach,sweet cream and wrinkle remover,in the shopping cart
road closed,moose tracks continue on,local traffic only
strong winter wind,bits of Batman kite wings,fall from the tree
in the orchard,rotten apples now crunchy,winter solstice
strong wind,back and forth on lake ice,streetlight reflections
homework --,after the school bus passes,a spider rebuilds
sultry afternoon,only the mailbox shadow,crosses the dirt road
black hole,near beaver dam a whirlpool spins,autumn leaves vanish
long journey back home --,a forgotten bale of hay,slowly rots away
strong April wind,the smell of Iowa hogs,in Minnesota
afternoon escape,within the prison walls,a library
Christmas dinner,grandma's fruit cake attracts,only blue jays
Afternoon rain;,Scents rise,From the garden.
A spring morning;,The pond's surface blurred,By raindrops.
night of snow -,a log settles deeper,into the embers
winter solitude;,steam rising,from my sake cup
early winter -,yellow windows,in the blue dawn
loneliness; ,the trail of a raindrop,down the pane
in the treetops,"lingering,",remains of the day
autumn evening -,the silence,of ripe pears
another birthday,under the same,October moon
unknotting ,the hammock ropes;,the scent of burnt leaves
the spider hanging in its web,doesn't care,the world is upside down
windy day;,the first flurry,of leaves 
"after the storm,",floating -,the tranquil moon
her name on the marble;,"birth and death,",the space between
lonely evening;,thunder,rattles the windows 
taking a breather;,the rustle ,of poplar leaves
pale moon -,the sun-bleached bones,of a sparrow
stepping out,for another log -,"ah, the stars!"
midwinter -,rain blurs the other side,of the valley
day long rain -,my breath,fogs the window
sake clear,to the bottom of my cup -,winter stars
midwinter slush;,the gray breast,of a chipping sparrow 
cold rain -,the bus pulls back,onto the highway 
early snow -,one more winter,for that old horse
cold night -,stars so near,we speak in whispers
stone Jesus,with outstretched arms -,the falling snow
starry night -,out on the highway,a truck changes gears
day-long rain;,I organize,my watercolors
autumn woods -,the smell,of last night's rain
abandoned by geese,heading south -,my autumn birthday
late summer -,copper wishes collect,in the bottom of the well
sultry day -,the tumult of rain,on my umbrella
a hole in the meadow -,lowering,the farmer's body 
lone guest gone –,the ticking ,of the parlor clock
"in the darkening yard,",the sun strikes ,the cockscomb’s red
between the treetops,and bright stars –,puffs of white clouds drift
late night,with Ryokan –,I warm the rice wine
held together,by its label –,a crushed whiskey bottle
"whatever the weather,",his soft smile – ,the buddha in the garden
worn in places,to the bare wood –,the golden buddha
travelers still catch,the Greyhound there –,the boarded up diner 
rain at graveside –,mourning clothes,soaked a deeper hue
after the burial –,a day moon,rising
he looks perplexed -,"the scarecrow,",chest deep in the river's flood
zazen -,the hum,of the Fridgidaire
bridge night -,trying to remember,our last passionate kiss
flag ceremony -,the old vet's uniform,hangs loosely
between Cassiopeia,and me -,fireworks!
lilac shadows,scale the garden wall;,slip off into the woods
full moon -,even the dilapidated barn,looks majestic
mountain rain -,the beetle and i,scurry for cover
snowmelt -,the garden blooms,with children's toys
love letters -,i rake the embers,of the fire
camellia buds -,my wife begins,to cradle her belly
a second glass of wine -,the poem goes,unwritten
credit crunch -,a half-dozen fireworks,greet the new year
head cold -,missing the scent,of winter heliotrope
new highway -,every mile or so,the corpse of a buzzard
september morning -,fresh flowers,on the roadside shrine
night fishing -,my rod-tip brushes,the milky way
traffic lights -,just enough time,to scribble a poem
midwinter dusk -,oak branches fracture,the western sky
autumn lake -,half-hidden by drifting leaves,a carp's bronzen flanks
autumn chill -,struggling to remember,my father's voice
september rays -,my son's shadow,lengthens
old woman,carrying her bags,spring wind 
a skein of birds,twines across the sky,the northbound train departs
dawn chorus begins,I reach for,the snooze button
new buds,on old branches,once again
crackling campfire,the comet's tail,streams toward morning
rainy day--,the pine cones close,one by one 
awoken by thunder --,fading into the call,of the imam
"Seafood tank,","Lobsters move slowly,",Far from Maine.
a butterfly,over the bouquets...,I tune out the speaker
senior's home,we celebrate the new year,a 7:00 pm
roadside rest stop,he adds a haiku,to the graffiti
dull pencil,the staff meeting goes,on and on
A snowy footbridge,the sound of water,under the ice.
under the oak,blue feathers,black cat
thunder storm--,on the sidewalk,earthworm slick
sudden thunderstorm-,open umbrellas flower,in many colors
night breeze,carries a moth,to the moon
lonely butterfly,in the quiet morning light,where are you going?
Indian summer,turkey feather falling,just out of reach
Tropical storm warning,Wet sand in our kisses,The opening sky
first time--,your curly hair,tickled my thighs
tornado,in the wreckage,a bird sings
Walking,quiet thunder,spring rain 
Balloon floats,Over garbage truck,Party is over
looking at the sky,dandelions with haircuts,"oh, that wind, that wind"
summer afternoon,the scent of evergreens,slowly spreading
Autumn night --,Puddles by the wayside,filling with the stars
Orange sunrise peaks through,The tubes and wires of father's,Life support machine
autumn morning,the smell of fresh rain,in my coffee 
hunter's moon,the old tabby,refuses to come in
north winds –,snow flakes and,the smell of smoke
intermittent light,the firefly never,where I expect it 
honeymoon site,grandmother revists,by herself
maple tree,the scars,of its healings
seeds catalogue,in the mail,the spring in hand
late rising moon,fireflies decorate,the tamarind tree
moving day,my life,reduced to boxes
her famous blue haiku,about her divorce,and his cactus
morning sun,the crumbs on the table,have a shadow
guitar and harmonica,in my car bob dylan also,is still 20
a morning haiku,exhaled,in a breath cloud
rainstorm,ants drink,from a droplet
meteor watching --,a match lights up,an unknown face
monsoon-,on the window a leech climbs,the himalayas
shortest day,birds at the feeders,dawn to dusk
forest vines,have seized the steering wheel,crow’s caw 
shade of the church,she says she’ll show me hers,if I show her mine 
autumn leaves,I add orange peel,to the potpourri
ring around the moon,this uninsulated,hotel room
maternity ward,hard looks when I shake,the gumball machine
dripping headstone,inscription for a ship’s crew,lost at sea
bones buried in the yard,snow on the roof,of the old doghouse
tide pools,a plastic bottle full,of sea water
hors du bordel,the gentleman chooses,a fresh boutonniere 
autumn equinox,the third quarter profits,just pay off the farm loans
vigil,kerosene lamp growing dim,in the light of dawn
mating season,two radiators making,one cloud of steam 
raining--,last night's baked chicken,tonight's curried soup
beginning of winter,the snow piled high,on the lawn chairs
graded papers,suddenly the rosebush,blooming
void encroaches,as vision vanishes:,glaucoma wins
this heat --,a butterfly carries soot,from the train tracks
glowing,over the city dump,Harvest Moon
autumn rain --,refinery lights remind me,of Christmas
"topless,",the skyscraper,in rain mist
fading light -,the stone steps brighter,than the foliage
sundown,summer evening melts in dark,fragrance of tea~
misty summer rain,calling pheasant,in Zen temple
a wild violet,on the sunny hill~,noon time nap
Spring equinox,Pray the ancestor grave,In cold rain
venus in the morning sky,at the blue rain barrel ,a doe stops to drink
in a bowl,that survived last night’s earthquake,placing my wedding ring
his eyes,watching their eyes,watching her
spring cleaning --,a family of raccoons,empties the goldfish pond
campfire embers,one firefly,lights our tent
twilight,in the Chinese lantern,a glowworm
sleepless night,a square of moonlight,crosses the room
night watch,in the sheperds eyes,a flock of stars
crescent moon,a new path,to scatter seeds
Country cemetery,snail on corroded tombstone,trails from A to O...
Ancient roman ruins,along both sides of the road,white jet trail above...
Sky dewed with stars,cool air listening in news,a man was hanged.
foggy glasses . . .,   a blurry paragraph,       above the bath water
new year's day . . .,     spent bottle-rockets,           in the road
wolf prints . . .,  the gas lantern,     splutters
novocain prick--,the warmth where,the dental nurse leans
the smell,of many campfires,in this old hunting shirt
cinco de mayo,horses roll,in the shallows
vanishing difference . . .,  gliding geese settle onto,    their reflections
folding chair,the newborn colt tries,to stand
damp straw . . .,   the day-old colt mesmerized,       by the radio
prying,   at the window . . .,       wind
silhouette. . .,  a shining snow path to,     a pale moon
hillside thunder,barely a rainbow in a plume,of smoke
morning camp,only an ember remains,but it's enough
storm warnings . . .,sunday afternoon by the fire,mail from an old friend
leftover summer grass,... horses browse,through crusted snow
old leather saddle,cherry colored and shiny,smells of horse
the same moon,shines on us both --,these cold sheets
last leaves,shaking on a branch,late migrators
Back from the garden :,"lots of beans, zucchini",and a haiku
greyness –,of the chocolate fish,crunching a bite ... 
retirement home,my mother talks to me,about the one with the gray hair 
under the red trees,from the busty blonde,the perfume 
this autumn morning,in the mirror,my father 
rooftop firepit,sparks mingle,with the stars 
winter moon,"the cold, clear, clanking",of train cars
Standing silently ,In autumn rain,The old cypress
tuning out the news,on the back porch,barn swallows 
winter sunlight,on rumpled linen,those slow hands
jasmine,beneath the stars,his blue eyes
wine sapped moon,the distance beyond,her lover's wife 
ferocious storms,wakened by the wet,of a dog tongue
winter sun,the slow drip-drip,of an icicle
starry night,a million words,unspoken
the last of the boxes,finally moved out,cloud covered sunset
handing off the keys,a chill wind hustles,the end of April
all the birds,unnamed on the fence,spring rain
labor day,and still,no labor
open jalousies,the missing scent,of his cologne 
wine moon,the heat in the kitchen,so close
sunny afternoon,sand swept,behind the door
middle of the night,on a wicked wind,passing news
morning stillness,a bird song,I've never heard before
sunday sermon,children's voices ,mix with the choir
Mother's Day,everytime,she calls
heavy rain,a darkening sky,behind her face
summer storm,the estate sale next door,continues on 
Sunday afternoon,bittersweet chocolate,and swapped addresses
Sunday dusk,a last wine bottle,piled in the trunk
Boston news,a crazy day and yet,that butterfly
dockside fight,french fries in a pile,of seagulls
habemus papam!,I've always loved,Latino men
internet break,the smell of rain,and boggy earth
shortcut. . .,the railway tracks,still vibrating
past midnight,public television,lights up the room
warm drizzle,cinnamon buns,and tea for two
distant thunder,a whiff of,foreign perfume
autumn morning,dew-drops dripping,from a cane pole
autumn sun,hidden in the flower bed,mushrooms
Indian summer,the baby in the back seat,mine for a week
waning moon,my parents visit,comes to an end
morning mist,his wallet and keys,missing again
making a u-turn,clear in the rear view mirror,autumn afternoon 
graveside service,slipping from Grandma's book,pressed wildflowers
middle of the night,my fingers tick tick ticking,a hot flash haiku
"hot, humid day",a jazz station plays,cool tunes 
night watch,the ex boyfriends house,on google earth
autumn wind,another  leaf flutters,from the pile
standing alone,under a double,rainbow
summer rain,the missing scent,of cologne
summer twilight,push mowers stop,for crickets
this sense,when first we met—,blue hyacinth 
predawn crows,—I argue ,with my therapist
climbing rose,the cut marks,on his wrist
drying shed—,a hint of thyme,in the onions
long blue tail,of a damselfly,kite festival
sun striking,the hour glass—,spring equinox
the weight,of the muddy river,jerry-can on her head
morning fog,in the mangroves,temple gong
first rinse of the rice,a wild scurry,of clouds
silent flight,of a raptor,your breath on my neck
summer sun,each spoonful,a taste of cayenne
far side ,of the moon—,that stolen kiss
wood knot,in my pocket—,fog over water
a long wooden pier,at the end,a glimmer of light
red moon,the calligraphy,of charred trees
the bent nail,where garlic hung . . .,winter moon
heat haze,the miles,of boundary fence
a few notes,from an untuned piano... ,autumn rain
old pond,oil slick rainbows,slip in 
temple looting,another buddha,loses his head
white dawn,a moon crab sinks back,into sand
winter beach,i throw a stick,for no dog
beer garden table,the blurred edges,of many circles
retirement home —,the same pot of coffee ,sitting all day
Saturday morning drizzle . . .,a driving lesson ,with my dad
after each haiku—,the pencil,a little shorter
cup of tea ---,the moon still,until i sip it
fresh sawdust,among the birches --,his bent shoulders
discarding,the tea leaves--,distant thunder
scent of roses --,counting the stars,one by one
thunderstorm --,a shadow pauses,at the gate
autumn moon ,the burn of the whiskey ,you left behind
in the churchyard,where my father found god ,bruised apples
forgetting his voice,my dad’s apology letter ,crackles in the fire
dad's suicide ,a candle burns away,its shadow 
slow dancing --,snowflakes swirl to the sound,of silence
dead of winter,blossoming in the darkness,my breath 
midnight coffee,a spoonful of sugar,stirred into the darkness
sleepless night -,in the distance,midnight express
visakha moon,smell of incense,from another room 
Indian summer-,farmer's,cracked lip
starry night. . .,counting out my pills,for chemo
gone...,the space between us,filling with wind
ebb tide,giving and taking,a yellow plastic spade
white light,from shore to shore,even the heron has flown 
moving in...,a child's growth in inches,under old wallpaper
the hush of snow,coffee bubbling on grandpa's,pot-bellied stove
a funeral pyre,of autumn leaves,winter moves in
approaching storm,the last magpie,takes flight
shifting light,the grey heron and I,in deep reflection
after the rush hour,at the intersection,only rain
December morning,the scent of coffee beans,and cinnamon toast
boys on the town,which statue will wear,a traffic cone
hospice tea...,for a moment Mother,remembers my name
summer love,a sudden blush,on her pallid cheeks
into the silence,the piercing wail,of the night express
the racing heart,of a startled deer...,blood moon
midnight...,the steady rhythm ,of her IV drip
storm warning...,the first rustle,of trembling leaves
midsummer night,the scent of woodsmoke,drifting through laughter
ploughing contest...,the farm horse wearing,a scarecrow's hat
derelict house,but with the morning,sunshine
shaking sky...,in the wheatfield,a scurry of mice
autumn languor,the soft shadows,of dying roses
summer picnic,my daughter's shadow,wearing daisies
monsoon...,beyond the rush of sound,the silence of birds 
deep into winter... ,the remembered scent,of lemongrass
on the far side,of early morning silence,a gathering of crows 
whole day,at the department-store -,house in shopping-cart  
storm clouds -,mother searches for,candles
lavender blooms,next to the violets,in a blue pot
stars,a full pool,in the garden
frigid job site -,the cement mixer,wheezes to life
moonlit ,our cell phones charging,side by side 
through closed eyelids,lightning strikes,my dream
from a mirror,pale blue eyes stare knowingly,the snow will deepen
prairie roads,in ditches full of snowmelt,moons float
a kitten...,will it too forget,its first snow?
full moon night...,starting the camp fire,with a page of fashion magazine
a new cellphone...,so many people to talk to,till the battery dies
"out of the city,",so many stars,unnamed
late summer rain --,two kids break the bottles,under the bridge
acorn falls,the sound of rain,continues
the moon,in every puddle,the same
Falling leaves,I already miss you,This winter
children voices,from under the grass,concrete bunker
white mountains,as quick as it can,train passes by
campfire ~,steaming pot,and shoes
raking the leaves ~,wind blows,the wrong way
hot beach sand...,between my fingers,a cigarette butt
between the second,and the third line -,short trip to bathroom
dentist's office -,cracks between tiles,filled with dirt
after a cold night,a cup of coffee -,"oh, man!"
Xmas away from home -,B-52 pilot,dressed as Santa
hedgehog in the fog,looking for apples,under the wrong tree
autumn deepens—,a fish slides down,the cormorant’s throat
milky scent,of the calf’s breath—,morning moon
feathers in the fire . . .,a cardinal’s song,between thunderclaps 
late frost,warmth of the tea mug,against my cheek
library return,her hand's warmth,lingers in the book
cloudless sky,the gleam of fresh lemons,in a blue bowl
rotten apples,we let the storm,pick them
end of summer,we no longer know,what sleeps in the barn
after the postman --,nothing in the mailbox,except a lizard
November afternoon,the insistent bell,of an ice cream vendor
van gogh's blue irises,"hangs on a wall, with",other gardens
things come and go <>,raindrops,on the pine
my stone Buddha,sits in the dark <>,"snow, snow, snow"
midday heat,under the shade tree,an empty chair
A lull in the storm --,the woodpecker darts,to another tree.
The thyme,has gone to seed --,summer's end.
cherry petals,flying higher and higher -,storm in my valley
a cup of tea,and a koan to go -,my cold morning
severe frost -,the sparkling whiteness,of my brown roof
autumn deepens -,I wonder what my neighbour,is writing today ?!
voices of autumn -,the patter of raindrops,on my rooftiles
first cicada -,the hot day seems,even hotter
red poppy dolls,sit alone by the beach -,dead children of Tohoku 
politicians play,the same old games -,long rainy season
earthquake night -,the stars are as silent,as ever
table 4 2,- a romance reduced,to numbers
cold sunshine -,the icicles refuse,to melt
cold night -,the deeper levels of dreams,and fears
when celsius,and farenheit meet -,cold night
New Year's morning -,I wipe some dirt,from my glasses
blizzard -,the heavy weight,of snowflakes
menopause -,she even quarrels with,the autumn moon
fighting,the summer heat -,no time for poetry
the future,deep in the tea leaves ...,spring growth
first firefly -,the moon also shows,his face
wisteria blossoms . . .,the faint memories,of grandmother's lace 
daybreak - - ,light and shadow ,on the apricot blossoms
how black !,dirt on the last patch,of snow
rainy day -,I finally finished,the Spring Saijiki
computer crash ...,I wish I were,this butterfly
my daily bread,on the empty table ...,spring equinox
old plum tree in bossom ...,last year the old owner,died
moonlight,on the temple roof -,and silence
autumn equinox -,all the crows celebrating,with grave offerings
the dance of,echoes inside a crypt . . .,winter chill
dinner outside ...,the crumbs walk along,the brick wall
a tiny world,unfolds and thrives -,summer rain
the backyard,of a poor man's home ...,summer heat
more rain -,lavender leans,on the stone Buddha
no fireflies ...,moonlight reflects,on camellia leaves
first firefly ...,a quiet night and then,lightning
powlonia blossoms -,a haiku floating,in the sky
a centipede,takes its morning walk ...,"aah, my kitchen table"
"winter,s end ...",my warm socks,with big holes
spring sunshine,on the cat's belly ...,mountain hermitage
late snow ..,a pheasant calls,in the morning mist
Ides of March ...,anyone remembers,the history teacher?
spring blossoms ...,the old farmer,coughs blood
winter sunset -,half of my Buddha,still in the light
remembering you -,the sparkle of the last,icicle
first sunrise -,a fallen camellia,shines on my path
winter sunshine -,the slow growth of a stone's,shadow
autumn equinox ...,the murmur of waves,slowly changes
high autumn sky ...,in the world of men,voices of insects
autumn deepens ...,these tiny pink flowers,on my wildest weeds
in the shade,of the full moon ...,distant fireworks
summer heat ...,the cats sleep,on the barbeque
looking for fireflies ...,I almost miss,the dramatic night sky
meditating,on a rainy day ...,new green tea
morning prayers -,the graves of the ancestors,in deep silence
day moon <>,the clock has stopped,ticking
autumn evening -,the lingering warmth,of this old deck chair
summer's end -,my cat still high,on the hot tin roof
autumn with alzheimer -,she breaks the bread,.. ... .. carefully
globalization -,he serves the sushi fish,on french bread
lightning,far away in the sky -,first firefly
summer in the temple -,the horns of the dragon,just visible
may rain <>,ever more sparkling,shades of green
Confucius <>,another long path,to the old pond
late spring -,the old kettle,still shines
war in Iraq -,a spider hides,in the cherry blossom
blue mountains -,the old tombstone,keeps watch
spring storm <>-,the tall pine leans,toward the short
rosebuds in snow -,the softness of his hand,on my shoulder
spring storm <>,the wind rings our,visitor's bell
mandarin ducks -,a silent pair on,the dinner table
winter in town --,the stone memorial of the,God of Water
winter morning <>,a few dewdrops on,my last rose
winter sunshine -,the many shadows of,a small camellia
wedding anniversary  <>,does he still love me,like the red winter berries ?
cold winter day -,hot tea from Kenya,in my cup
mountain temple -,a prayer overgrown,with moss
autumn deepens  <>,a last sunray,on the pines
misty morning -,a black and white world,behind the graves
doing the dishes -,a tiny soap bubble rises,toward heaven
summer sunset <>,your hand heavy,on my knee
snow on red leaves <>,so many coincidences,in my life
the dragon <>,now a cloud,in my sky
autumn deepens <>,memories fade into,misty clouds
autumn deepens <>,the crows chatter muffled,by thick fog
just staring,at some autumn clouds <>,a hot cup of tea
lunchtime <>,a dead cicada,surrounded by ants
fragrant daphne <>,the money collector stops,before he knocks
hailstorm <>,under the groaning roof,I hold my breath
an old temple,amongst cedar trees,too many leaves fallen...
forgetting my words,step by step,the autumn night deepens
a mosquito,aiming noisily <>,the sound of one hand
watching summer clouds,thoughts shaping and,reshaping
fine shell new moon,onto cherry pink horizon...,shades of easter egg
alzheimer’s,white white white,snow falls
Pomegranate jam,the wild smell,of autumn
corner of dark street,shadow of ,ice cream truck
highway drive,crescent moon fading,into dark
summer morning,kiss bridges the gap ,between iron bars 
in the mirror,the stranger coughs,morning fog
after midnight,squashed roach,still moving
familiar names-,the warmth of a woodstove,in January
childhood scrapbook,the life expectancy,of Scotch tape 
frost moon,I tell my daughter,the truth
restless night,the morning starts,without me
black friday,two crows tear,at a plastic bag
tan lines,and coconut oil,high tide
antique store window,looking at dirty street snow,through colored bottles
cold attic -,faded cigar box,filled with seashells
windless day,the prolific weeds,at the grave site
egret stands,"in the blue rice field,",dusk creeps in
long centipede,on the ceiling- long talks,of what to do
white clouds drift,"in the August sky,",a child dreams
Eating alone --,The sound of cold milk,Into a glass.
a dragonfly,on a dragonfly,summer heat
tying a knot,in the grass blade,midsummer
a dead key,on the grand piano,winter darkness
old sandbox,the weeds,all grown up
bright and full,above the fields,coyote song 
beer bottles,clink in the cooler,summer solstice
watching the deer,watch me,morning moon
blossom rain...,the way she laughs,at all my jokes 
the moon,almost empty,winter rain
the scarecrow,covered in crows,widow's farm
misted air ,mother stirs autumn,into jam
state lockdown,resisting the tyranny,of cupcakes
lockdown,sometimes the old teapot,seems heavier
snuffed candle smoke,the shades of family ghosts,filling photographs 
abandoned church,a whisper of wings,from the shadows
lost in the crowd,the emptiness,in a beggar's bowl
summer’s end,a marsh heron lifts,into dusk
history repeats,the old station clock,aligns its hands
night train,I travel alone,with the crowd
funeral morning ,my battle-scarred tomcat,brings me a purr
another noon,still standing,in my father’s shadow
lighting cigarettes,from each other's cigarettes,the slow setting sun 
hailstones,against the windscreen,our silence
small white butterflies ,she starts to think,it might be too late
sunlight,on grandfather’s whiskers,we close the lid
in the rest home lounge ,the quiet piano,its line of cracked keys
evening breeze,winding through war graves,the scent of mown grass
transit camp ,dust tracks deepening,on the child’s face 
gliding back and forth,through the office aquarium,goldfish and workers
in the old folder,of accountancy reports,a pressed wild flower
white satin ,cool against her skin,choosing a coffin
fortieth birthday,fastening my old belt,at a new hole
abandoned steelworks,a small weed,cracking concrete
thunderstorm downpour,thrashing against the window,her sweat on my lips
darkening skies,cattle clatter down the ramp,into the abattoir 
electric storm,out of a dark horizon,a raven's eye 
summer thunderstorm,filling air with tension,she crosses her thighs
taking the old road,to my father's stone,the slow tilt of stars
nude in the sauna,the young woman pours water,on stony silence
silent ,as a mouse,the trap
kissing the widow,along her silver neck chain,the glint of his ring
how slowly,the coffee drips,morning rain
packing away,the baby blankets,late frost
wishing ,she wasn't cremated,Mother's Day 
chemo patient,seeking inspiration,in a bookstore
Just before; ,The dish hits the floor ,The silence 
One just sits;,And blue dawn light floods,his poor house.
"Soprano, clear and cool,",and pale violin float;,Above the freeway noise.
the winter sun ,in the cancer ward -,a quiet old couple
old pond -,another lily,in bloom
no real reason,for a small sadness,late white roses
between downpours,orchestral swell through,a half open window
through a wine glass,the swaying of,feathery grass heads 
wild poppies,gusts of music from,the midsummer fair
shadows. a window ledge,just big enough to hold,two doves
half moon,only broken crackers,in the tin
revision notes,brushing sand,into the gaps
the first dusk of may,it's suddenly there,a pale orange poppy
dandelions . . .,two drinkers unzip,by the path 
scrunched-up clouds,a blue plastic bag,in the nettles
early spring,one morning the clang of,scaffolding poles 
platform 9:,through the glass roof the shapes,of swooping gulls 
sneaking out,thru' the bathroom window,steam meets fog
in my rear view mirror,the moon,on full beam
hard frost,wrapping myself up against,the breakfast news
winter bleak,under the rail bridge,graffiti blooms
christmas lights . . .,high above the street a skein,of twilight geese
in the walled garden,the scent,of decaying apples
another day,another apple crumble,. . . autumn deepens 
autumn days,the weight of my life's,unpicked apples
hindsight,a field of,cut stalks
tree burl,summer reveals,my old scars
our shadows,leaning on the railings,on the pond
wind chime,my phone picks up,a wifi hotspot
fallen apples,the constellation of,the gardener
forget-me-nots,our white dog shakes off,pale blue stars 
remembering you,cold and warm,on the same breeze
day break,half a pale blue,egg shell 
good friday,the outstretched arms,of the espalier pear
how high into,the hillside cemetery,the fog tide rolls 
Exposed roots.,The tree outside her,childhood home
Punctuation.,A rose petal falls,from the vase
all the suns,that we can muster,winter celandine
work done,my shadow reaches,the sunlit laurels
the window cleaner's ladder,leaves two small holes,in the planet
"Oh, a cold rain",again fills the river,with circles
Moss on the roof,tiles. First one cat,then another
year's end,there's a hearse,in the fast lane
geminids a couple,of white pills before,i go to bed
double whisky,everything glistens,in the mist
overcast,until a white moth lands,on my phone screen
wind chime,a text brings news,of his death
frost burn,high windows blaze,with sunlight
glistening frost,the slow blue arc,of a buzzard
roadkill pheasant,all the blustery colours,of autumn
in the hedge,the lighted windows,of a train
even after 30 years,the scent of honeysuckle,one summer night
monday morning,ant traffic on the main stem,of the rose
full moon,a pear hanging,this side of the wall
starless night,the cyclist,without lights
"hawk, on a fence post.","first light,",the rain a kind of mist.
day moon,the jellyfish we spot,from the end of the pier
high summer,where the shade stops,so does the dog
not long till sundown,into the willows,a yellow frisb e e 
another cloudy night,i google,the moon phase
sunless days,the world locked in,a pine cone
easter sunset,a red-tinged cross,of contrails
neatly stacked,the scents,of sawn timber
plum blossom,the haiku poet's mind . . .,elsewhere
spring sunshine,on a high branch a plastic bag,puffs out its chest
winter solstice,inside the hollow tree,fire blackened
a cut glass bowl,holds the shells of our summers,this life in exile
hard frost -,deep in my coat pocket,summer sea-glass
that same music,again and again,winter rain
the graveyard,our icy shortcut,through the winter fog
icebleak,no colour but the rail bridge,graffiti
still life -,at the lake's edge a tree's reflection,caught in the ice
november sun -,leaning on the old stone wall,a shadow tree
the year's end,all those graveyard names,carved into the fog 
war memorial,snow has almost covered,the poppy wreaths
pumpkin moon:,tai chi movements time,the eclipse photos
frost,on the pumpkin:,lunar eclipse
earthquake,with the typhoon -- more coins,at the temple
Memorial Day --,a shadow for each,white cross
spring moonset --,a rice ball for,breakfast
tailgating trucker,is that load bound for K-Mart,worth more than my life?
This road,no one goes down it,autumn evening
Natural rhythms,moons and tides supplanted by,yellow red and green
Seven miles per gallon,Bush thanks you for ,supporting the Iraq war
My Ford Explorer,on a never-ending quest,for a parking spot
Cochrane Alberta ,Coyotes howling in the night ,"Honking, geese at dawn "
"Like Custer's bugler,",you sound the charge. Remember,the Little Big Horn.
I-5 corridor,Microsofties creep to work,"slowly, in nice cars"
If you really love,America hang that flag ,on a bicycle
Atlanta traffic,easy to see why Sherman,burned this city down
a hundred streets named,peachtree - no wonder sherman,burned this city down
I saw that finger!,yes you in the Intrepid -,we shall meet again
he's a stop and go,christopher columbus in,your ford explorer
brooklyn bridge walkway,bombsquad found a stray backpack ,homeland traffic jam
keep an eye open,"for food, gas and ten-year-old - ",an amber alert!
the mailbox,captive in snowdrift,a letter from war
late afternoon –,a wind chime softly sings,in snowy garden
autumn bonfire –,all my summer dreams,scatter with the smoke
growing darkness,gleam of setting sun,on Chinese Lantern
concentration camp,winter branches touch,the statue's shoulders
stripping off,her sweatshirt ~,sparks in the dark
valentine's day,only rain,on the scarecrow
aged painter ~,trembling leaves,from the tip of his brush
a new month - ,different seeds ,on the spaniel's ears 
dream catcher,the shifting colours,of rain
wild wind,on dry sedge--,what more on her mind? 
oak stump-,i remember the hornets,last summer
apple core,how to bottle,memories
first dawn alone-,the widow eats his half,of the orange
lunar eclipse-,his eyes on her frayed,jeans front 
petal gust-,the street flutist's,scrambled notes 
blue dawn?,the rain's last phrase,on a glass pane
red lobster-,her prying glance,through the mist
mixing bowls-,the shallow echoes,of bells 
winter solstice,the widow tightens,her braids
candle drippings,on the epitaph-,a broken word
granite wall,a cold touch so hard,to resist
mountain wind,the echo of a cuckoo's,cough louder
overcast,an orange scarf flails,on the clothesline
plop,the sound of bubble,from a carp
pine strand,flailing in night sky-,the first low star
twilight rain,the blue heron mid-lake,somehow smaller
evening mist,in the distance,a yelping
opaque windows ,>barring the dawn ,>of the new year
even seagulls ,>imitate the stones ,>first frost
the sound of foam,withdrawing from the shore,our unsaid goodbyes
winter trees,waiting on the silence,our breaths
full moon,he smoothens a wrinkle,on her hand
somehow,our shrinking shadows touch,harvest moon
crocus buds--,secrets we've kept,from each other
cherry blossoms,shedding in the moonlight--,the Milky Way
winter sky--,the white cat's eyes,bluer--
the coming of summer-,all the petals,i brushed off my hair
gray spring dawn-,the shiver of daffodils,in my bones
this cold-,Sakura cherry blossoms,on my window
this sunless spring day,chickadees chatter on-,my indecisions
watching rain,drum beat on window pane--,the deaf cat
spring fever--,shoots among the lilies,she can't name
mirror-,she sees her flaws,in his eyes
mirror,her mother's lips,pursing like hers
between her,and his goodbye-,sudden hail
from haiku scribblings,to a prayer,on a giant wave
secrets--,burrowing in sand dunes,a pale sunlight
left out in the rain,her old haiku,on cherry blossoms
late winter walk-,soft rain on bare cherry trees,harder on my thoughts
in the mist,waiting to meet you-,budding crocus
frosted dawn-,his words hang,over coffee
deep winter--,nothing much to say,even among crows
on street -,a shower of petals,for no one
first frost--,the last of the roses,have lost their names
girl in Sunday dress,in her father's shadow--,lost too soon
day after Christmas-,crows waddling to bus stop,no one awaits
