rectory roofers,their ladders,take them higher
every morning,waiting for the kingfisher . . .,bare branch of the eucalypt
if not for the shadow,on the canyon wall,i would have missed the condor
clouds,chasing clouds,the scent of lemon
all the way down,freewheeling through,cicada song
adult walk,a skip,in the child's step
this wide sky,in the grass,a thrush's broken egg
night storm,her waters,break
twilight,a tui mimics,a tui
exhibit,the tuatara stares,at the class
cold wind,every oystercatcher,headless
cathedral tour,the locals,keep praying
daybreak,the baby's first cry,drowned by thunder
old dance floor,the piano ivories,lifting
hurricane,the taste of rain,from a barrel
daguerreotype,my infamous ancestor,in diapers
clouded moon,the sound of her slip,hitting the floor
childhood home,someone else's mother,on the mantelpiece
high desert,i'm surrounded,by a fly
terminal.,she skirts,the word
neighbour's cat,the cicada in its teeth,keeps singing
muddy garden,her puppy,brings it in
bulldozer,a yellow caterpillar,in its tracks
bright moon,light years,between starfish
teenage daughter -,beyond the policeman at the door,the street light
after the game,full moon,between the goal posts
in the shed,calendars,of cobwebs
morning tea?,from the parakeet's cage,a toy bell tinkles
snow covered field,the impressions,of angels
another stair,the weight of my daughter's,college bags
nameless dirt road,and at the end of it,a field of potato blossoms
a shrike's cry,the river widening,at the bend
fireworks at the park,someone brings,in a boombox
country graveyard,a worn path between,the dead
autumn sunset,fog spills over,the coastal hills
cloud peaks,inch by inch the worm,stretches its shadow
descending notes,of a canyon wren?,sunset
dense smoke,the steep mountain road,curving sharply
remembering my mother?,a wood thrush song,at dusk
carrying moonlight,into the house?,white peony
stillness,in the storm's eye,stars
quiet house?,a spot of decay,on the anthurium
puddle?,just for a moment,the moon at rest
the ashes,still log-shaped?,her 21st birthday
rainy day?,one tile missing,from the blue roof
meditation . . .,a pinecone plunks,the koi pond
moon sliver,the sound of dew,dropping from leaves
morning rain,blue flames flicker,under the teapot
coffee-cup shadow,mother and son,in deep conversation
winter sky?,looking in,my empty wallet again
steady rain,three vultures huddle,on a hayroll
a cold jar,of young eels,the moon in their eyes
wisps of fog,her red sweater,comes and goes
huge cedar,snow resifted,through hemlocks
day moon?,water runs slowly,over a floe
winter rain,the flow of ants,in the pantry
wind swirls,in the nursing home courtyard,a few dry leaves
deep winter,the old dog's shadow,lagging behind
light from the snow;,my wife shows me a small bloom,on the hyacinth
false spring,cougar tracks,in moist sand
sunlit porch?,a butterfly alights,on mail from overseas
spring melancholy,a field of rape flowers,gone to seed
sweet peas,tremble on the trellis,the bride's i will?
melon blossoms,a yellow-powdered bee,wipes its face
cloudless sky,a pheasant flies from,the combine's teeth
the garden butterfly?,my daughter not close enough,then too close
afternoon hush?,the cat takes another step,towards a robin
thunderclap,the cadence of the rain,changes
slash burning?,the scarlet tanager,hits a high note
family picnic,the youngest child pockets,a watermelon seed
sunlit meadow,my small knight chases,dragonflies
the drive-in movie screen,covered with graffiti?,shimmering heat
summer noon?,the hearse's blackness,dazzles
outdoor caf??,a song sparrow,cleaning tables
honeysuckle . . .,the mailman takes a sniff,as he closes the box
city park,a child brings me,a dandelion
graveside service,a stray dog pisses,on the casket
humid afternoon,the billboard painter,brushing on a smile
late summer?,baring the tan line,on my wrist
bonsai gift unwrapped,she removes,the twist of wire
crowd of umbrellas,a child opens his,face to the rain
summer moon?,the changing rhythms,of a basketball
faded overalls,the garden weeds,touch the scarecrow
summer evening?,a boat returns to harbor,with pink sails
opened door,the darkness lengthens,into a kitten
from the balcony above,a hand outstretched,. . . rain
sunrise . . .,a mountain's shadow,touches the city
fluttering leaves,the play of sunlight,on my eyelids
channel marker,fledgling ospreys,stretch their wings
handmade paper?,ink bleeding into,a late summer moon
reading by lamplight;,sounds of a summer night,press against the screen
summer heat,a cat drinks the water,in the birdbath
concert in the park?,sudden raindrops,change the tempo
marmot hole,snow in the shade,of a lodgepole pine
first spring day,the bareness,of legs
mating season,a marsh hawk commits himself,to the somersault
bear market?,still the cherries,blossom
city dawn?,window washers,rise on their scaffold
morning chores?,the chatter of sparrows,through the dryer vent
sea rock,in an old man's shape?,another spring
pulling a weed?,the ladybug hangs on,for the ride
morning migraine,the coo of a dove,outside my window
morning sunshine,a wren weaves in and out,of the trellis
starry sky,the honks of wild geese,rise from the quarry
cold moon slides,up the long window,shadow of her hand
bare winter prairie...,a little smoke rises,from an empty field
autumn wind,a tiny spider husk,spins in the moonlight
a cottonwood stump,brought in by the tide?,sparrow song
solitary walk,dragging the stars,through pines
first frost?,a daddy-long-legs,skims over bright leaves
prairie arroyo,half-grown bison bulls,corral the trucks
december beach,not a sign to be seen,of christmas
churchyard manger,knots in the plywood backs,of the wise men
midsummer's eve,the pond's last light,stirred by dipping swallows
dog days,the sun-struck arc,of the angler's cast
beach run,the salty taste,of myself
white birches,fog drifts past,the stone cairn
autumn rain,the long outside staircase,to my room
august moon,the coolness of,new sheets
sparkling shoal,water strider shadows,cross the bottom
morning fog,a worm trail ends,in a spiral
steady autumn wind;,balloons at the same slant,in a used-car lot
a deep bruise,i don't remember getting,autumn evening
spring thunder?,from the center of a pine stump,a pine
winter solstice,the road narrows,into one-way
summer's end?,beachstore buckets on dusty shelves,anyoldhow
mid-argument?,a bumblebee,stumbles in clover
a spider weaves,among the rosehips?,no one at home
schoolyard quiet?,the scribble of ants,in a stone shadow
summer highway,puddles of light merge,with the sky
the striped racer,slithering to full length,canyon wildflowers
passing clouds?,an ant swings,on a grass blade
my daughter's graduation?,a gull separates,from the rest of the flock
the baby nods,cottonwood seeds,drift along the road
a migrant worker,in the 'native plants' median,midday heat
goldenrod,bending,heatwaves
dog days . . .,another block of hay,pops out of the baler
grit in the stomach,of the steamed clam?,summer heat
smoldering coals,the rattle of blue crabs,in a metal bucket
amber shallows,a perch nibbles,the sky to pieces
the slow blink,of radio tower lights,?autumn chill
noon sun,the cow chews her cud,clockwise
midday sun,my shadow,to the ocean floor
passing thunderclouds?,a waterstrider's rush,to stay in place
evening stillness,the small bubbles,as the trout rise
autumn river?,pulled together on the deck,two white chairs
high above,the end of this long day,sliver of moon
sunday morning,a neighbor comes out,to clap his shoes
floating,through my thought,butterfly
rose trellis,a butterfly adjusts,its flight
garden swing?,cat and butterfly,in mid-air
three fiddlers?,a dog weaves between,pints of stout
she speaks softly,she speaks of daffodils,i write it down
bumblebee,the buzz,between flowers
a child's laughter,the touch,of a touch-me-not
cool summer morning,i take my thoughts,out to the porch
lightning flash,how short,the stubble
cloudcast afternoon?,corn popping,on the stove
an old man's breathing,barely moves the newspaper,winter dusk
winter stars?,shaking rust down from,the old swing set
grand canal,row on row of gondolas,tossing at their stakes
crochet hook,pulling the yarn through,deep november
porch sitting?,the scallop of snowy hills,in his gesture
bright venus,two hawks settle,deep in the pine
approaching storm,a peacock's cry above,the wind
tattered windsock?,a harbor seal slips between,two dinghies
pond shimmer,there not there,grebes
early spring,the honey pot,nearly empty
goose crossing,the old pick-up's,broken horn
valley stillness??,a butterfly passes through,an empty log
fading stars,a hedgehog haphazards,its way back home
filtered sunlight,where the forest thins,daffodils
her gray hair,gone blonde??,first day of spring
fiddlehead fern,the way it rolls,off the tongue
sunset,flash of starlings,in the acacia
day lilies,waking to find,it wasn?t a dream
a grain of rice,on the mayor's face . . .,new year's levee
winter chill,turkey vultures circling,one of their own
long train,the roundness of snow,on tanker cars
winter tulips,squeaking,as they enter the vase
rabbits at dusk,as if foxes did not also,love twilight
january??,the gym crowded,with resolutions
forecasted storm . . .,the low-battery,in my kindle
hunger moon,the sound of squirrel teeth,on a hazelnut
winter mist,at the stoplight pink sneakers,keep running
lent is over,a bartender flips,the coaster
my housefly's autumn,the window with the hills,of apple trees
moonlit waves,the glow of streetlights,on clapboard cottages
snow in the forecast??,some extra spice,in the jambalya
12.01 am,flying a drunkard's path,the year's first moth
snow erasing,the garden's features??,teaching my dad to shave
unilingual,i study the expressions,in a wren's eye
first cold day,the cat kneads,a patch of sunlight
first flakes,discovering my childhood,in a box
orion's belt,my words byte by byte,to another continent
after the funeral,snow covers,the dark places
rustle of palm leaves . . .,fishermen play cards,in the boat's shade
roadside walk,a beggar stretches,leg as hand
fiddlers? festival,the bull frogs?,uneven harmony
alone,with dad's old songs,another night of fireflies
adonis blue . . .,searching in vain,among the heathcliffs
summer afternoon??,the saxophone busker,takes a drag
tornado watch,cricket songs carried,from tall grass
gypsy violin . . .,the wheat harvest,sparkling with fireflies
mountain pass wind,whistles through my pack frame??,a pika answers
crescent moon,quiet lullaby,from the rocker
first flakes,the nowhere voices,of geese
the snow,follows grace,stone soup
first,in the last trash bag??,the box it came in
winter frost??,the sword's sharp shine,out of the sheath
a rose petal,in the singing bowl . . .,first blackbird
all saints? day dusk:,a blackbird's alarm call,sets off another
folding the map,part of the country ends,in the ocean
new year's day,the cloud that held the mountain,lets go
winter thaw,tasting spiced cider,on my lover's tongue
bare trees,a request for an update,of my bio
glare ice,the old dog,pees on the moon
sun-bright morning,dragons of factory smoke,dissolved by wind
after all the things,that have gone wrong??,plum blossoms
i find myself,losing the trail . . .,greening woods
spring cleaning??,my daughter finds the key,to the music box
wind blown snow,a ewe's cry,in the night
mild winter,the shore ice,releases its litter
measuring a life,from crocus,to crocus
songbirds returning . . .,the tunes my father,would whistle
trail frog,the children,jump back
early spring . . .,specks from the sky,settle near the river
the robin's song,garlic shoots,lift the soil
daylight saving,the neighbor's pregnancy,begins to show
butterbur,the rabbits explore,a little further
stuffed in a bus,the scent of spring,in a woman's musk
inside the bud,all the reasons,to believe
the swell,before the river splits,into another name
from the far bank,the two-note squeaks of coot chicks,strobe the river
outdoor wall,banyan shoot curls,in my shadow
in the stream,a lone fisherman,that once was me
stargazer lily . . .,a dab of pollen on the tip,of her nose
primrose??,a new nurse hired,in the playhouse
sweetfish fall downstream,how easily i slip,into yesterday
our legs,stir up phosphorescence,the heat
clouds drift . . .,the trail of a rain drop,on a dirt covered leaf
butterfly,the thought of myself,not thinking
yard sale??,listening to sunsets,in the conch shell
slow current . . .,the rusting shadow,of a truss bridge
peaceful evening,the drip,of oars at rest
dusk . . .,the home plate umpire,brushes it off again
piano practice,leaves swirl,allegro con brio
scudding moon,a starfish holds fast,to the hull
neck,& neck??,geese
first names,no longer in fashion,weathered headstones
between roots and branches,centuries,and a child's swing
autumn wind,i take what i want,of the apples
october fest,too much oom-pah-pah,in the mustard
leaves in the wind . . .,this time,i let him go
godless month,a double rainbow,spans the mourners
first snow,cascading through cedar,a woodpecker's call
olive sea,i disappear into another,gray day
too late,to call him dad,autumn leaves
autumn sunset,the flutter of the sail,as it loses wind
pale moon,my childhood gone,with her last breath
baby photos,from my birth mother . . .,how do i say hello to me
lame doe at dusk,shifting the weight,of my day
mom's ashes pass,through airport security,autumn evening
first night of fall . . .,most of the moon,spills through the leaves
another dream,about the otherworld??,pressed flowers
old postcard,a steamship voyage,on a stamp
skin,is all i know of me . . .,distant thunder
desert motel . . .,opening the door,to starlight
screened window,the full scent,of jasmine
heirloom roses,she crunches eggshell,into the black loam
beads of rain . . .,raspberries holding on,to summer
near the horizon,a wave forms,"touch me there, again"
moonflower,a love letter,to captain kirk
city alley,the heart of an iris,holding rain
building thunderhead??,the white hydrangea,touched with blue
morning walk,the stranger's dog,knows my scent
pock,of tennis balls??,the heat
summit,a gnat's weight,on my nose
swallowtail,maybe i?ll,say yes
sagging porch,my conversation,with a stray dog
home run,moths swarm,the floodlights
longest day,rolling each awning,out to its limit
bottom of the canyon,a brochure,of spectacular views
doll house??,my daughter changes,her mind again
far from home,she puts a shell,to my ear
summer stars . . .,an actor's bow,sweeps the pool of light
morning tide,the seaside town,smells of breakfast
valentine's day??,thawing a wild salmon,from the supermarket
winter solitude,another long night,where things left off
awkward silence,a guest pinches,a sprig of lavender
spring dusk,a turtle laying eggs,in railbed cinder
looseknit sweater??,the spring wind comes to me,in a thousand ways
deep winter,i hang my shadow,in the closet
romance ends,pot-shaped clods of dirt,on the compost pile
scent of guava,a glimpse of my youth,in the fruit aisle
the softness,of lamb's ears,garden for the blind
sudden winter,the press of cold metal,against the paper gown
holidays over . . .,change from someone's pocket,between couch cushions
no desire,to talk it through,first moon of winter
this way and that,winter sun,in a rabbit's ear
stark tree limbs,a cyclist i see,every morning
another new year,the reek of gunpowder wafts,on the cold night air
hunger moon,the many shades,of snow . . .
a wren at sunrise,it seems too early,to write of death
stark tree limbs,i have nothing,of my hometown
raging blizzard,the gritted teeth,of jumper cables
scent,of raked leaves??,an old wound
autumn sun,the man on a bicycle,hugs his pumpkin
autumn twilight,i tell the hostel,we?re almost there
black fingers,in the dough,a hint of winter
a faint chance of snow,?the right money moves,for the year ahead?
autumn woods,my son and i,not just dna
halloween,the white cat's,black shadow
the sky,gray with voices,late geese
shorter days,my medicare card,arrives in the mail
emptying the trap . . .,a pumpkin seed between,the mouse's teeth
sun-filled eddy??,a swainson's thrush sings,an upward spiral
turning tide . . .,a barnacle waits,on a limpet
first drops,a frog syncopates,with the cicadas
same as it was,when we were cavemen,the moon
dry september . . .,water gurgles,in my fish tank
returning home??,i cross to the cricket's,side of the road
mossy creek bank,the days when i could be,anything
a butterfly,in her cupped hands,end of summer
misty morning??,lingering smell of cattle,in abilene
cicada song,spanish moss dipped,in sunlight
a first kiss,on the edge of summer,sand in my shoe
family picnic??,my son runs a finger,over his birthmark
approaching storm . . .,a fluorescent swimsuit,on the clothesline
high desert,the weathered rock,gives up a shell
scent of her hair,wave after wave,touches the shore
bullfrogs croak,in the river,women harvest stones
migraine??,the red fan opening,fold by fold
"with a little rain,",the color returns,to a stone
carving emoticons,in ice cream . . .,lonely town
octopus,i already know,the way home
winter solitude,the elevator speaks,to me
blowing snow,i learn the secrets,of the wind
winter sun . . .,the soft flicker of waxwings,in the firethorn
taking a left,when i should have gone right,spring drizzle
spring moon,her tippy-toes bring her,that much closer
a red fox,appears disappears,winter wind
all day writing poems . . .,the sound of paper settling,in the bin
a flutter,in the doe's flank,crocus in snow
good friday . . .,walking to confession,in worn shoes
moon-washed garden,wondering what became,of the tailless thrush
blizzard from the north??,the buffalo turn,to face the white
school reunion,failing to recognize,the winter goldfinch
always making,something out of nothing,the brilliance of crows
mid-winter,the stillness of the sardines,in the tin
a gazillion germs,in a sneeze,yet more stars
winter gulls,the grit of sand,in soap
the big dipper,my dog keeps searching,for the right spot
swollen moon,the winter diet,of comfort food
office aquarium,the fish and i,in different boxes
a pawn sacrificed,keeping the game alive,this freezing night
stuck,in the eddy,autumn sky
persimmon sky,two blackbirds puff up,their silhouettes
two attempts,at the trouser leg,new year's day
snow squeak,the longest branch bounces,with sparrows
slideshow,our winter vacation,the white wall
last autumn colours??,the cloister fountain,keeps singing
antler clash,the moose,lock breaths
the soft blur,of sleeping swans . . .,winter light
first star,my son says he knows,the speed of light
deep winter,i lose my list,of things to do
skylight raindrop,holding jupiter,and the moon
lovemaking??,over his shoulder,the moon
the cricket's song,what's left,of the moon
autumn zephyr,my daughter imitates,a maple seed
autumn woods,my last walk as a bachelor,memorizing vows
wind-blown sky,a dragonfly's grip,on the clothes line
autumn orchard,the oval of a basket,imprinted on the grass
morning cicadas,a vine reaches,into open space
horseshoe pit,a yellow maple leaf,leans on the spike
the vermillion glow,from the pistachio trees??,i knew your father
"ears over eyes,",the pigs stretch out,in the evening sun
village fair . . .,insects fly round and round,a tube light
her heart,on her sleeve,firefly
keep off grass,the tut tut tut,of a sprinkler head
wind waves,through the tall wheat,missing her
cockatoo roost,the last light of evening,folded in the hills
starry night . . .,a black rhino,fills the water hole
bare feet,the child squelches,through a cowpat
summer squall,lily pads,hold the pond in place
wild mustard scent,a bed,shared with sisters
aroma of coffee,in the morning breeze,my new lover
catch and release,a little shine left,on my fingers
shimmering lake,how unimportant,what's important
cloud castles,the music we heard,just air
alone in the bush,just me,and a blowfly
skinny dipping,mayflies,shed their skins
illuminating,motel wallpaper,headlamps
rain from the west,sifts through the porch screen??,the evening cool
dining alone,the festival lights,keep a regular beat
in our face,the dog shakes off,the ocean
narrow road,the clash of umbrellas,as we near the buddha
the world a blossom,i make up a song,for my dog
morning mist,a parrot asks,my plan today
the puddle,deeper than i thought,empty mailbox
the wren's empty nest,just a little less,of the moon
blue whale,the outstretched arms,of a toddler
first day of spring,a puppy at the pet shop,wags itself
spring!,a bug i don?t know,looks me straight in the eye
still some snow,on the upturned canoe,seed hulls
colorless wind,the ashes,that don?t scatter
crayon map,my son shows me the way,to neverland
part street light,part moon light??,first kiss
the taste of smoke,in the single malt . . .,autumn deepens
turning leaves,he flips a penny,into the sun
a medevac helicopter,passes low??,scent of autumn leaves
fading light . . .,pink-footed geese wade,into the sun
chimney smoke,the long straight rows,of cornfield stubble
a lullaby,turning to whisper . . .,moonrise
two dragonflies,riding the screen door,autumn deepens
ghost of,a white gazebo,night rain
counting the lines,on my neck??,magpie song
cornflakes,soaked with milk,all the leaves have fallen
"mallet to chisel,",chisel to stone . . .,the north wind
last moon of summer . . .,the bottom falls out,of the pitch
cicada shell,the space behind,its eyes
moon,the light in the shade,of an unlit lamp
old growth mountain,two red dragonflies couple,and uncouple
full moon,the silence of birds,expanding
the hand that touches mine,from tree to tree,the path of wind
wind turbines,grind the sunset,summer's end
well-trodden rut,a line of heifers,watch me pass
they speak,of my doppelg?nger . . .,autumn's first chill
indian summer??,a black bear grazes,the shriveled berries
dark lagoon,a thousand years,of tree frogs
the crows,choose headstones,july heat
fireworks??,her handprint evaporates,from the cold glass
hydrangea??,over tea mulling the idea,of utopia
rain forecast,spittlebugs at the nodes,in meadow grass
between two farms,"one of barley, one of wheat",the old battlefield
windless day,one ripe tomato drops,from the vine
brilliant moon??,sharp shadows of lemons,on the stone steps
a dry riverbed,cloud shadows moving,down the canyon
in ten summers,the convict's first visit,dragonfly
home for christmas,the tree losing needles,on fake snow
as i turn the page,napoleon leaves moscow,fading winter light
year's first moon,the widow turns,her mattress
winter night??,i dream,in monochrome
"finally, good news??",the reflection of my face,inside a tea bubble
dumpster,the iridescence,of starlings
snowy night,drinking tea,from my hometown
over old ground . . .,a dunnock's search,in winter shrubs
low tide,gull and gannet shadows,pick shells
spring peepers,raindrops stipple the creek,in chorus
cherry buds,so much effort,to be nice
prom day??,on my daughter's waist,a boy's hand
village in the mountains . . .,a stray dog becomes,our trek guide
baptism song,a turtle slips,into the river
yard sale,a family portrait,bought for its frame
just how,to hold you,paper kite
willow,the limits,of happiness
towing,a rainbow,baby duck
pool filter,a child's collection,of dandelion wishes
beach cottage,the musty smell,of old novels
cradling her belly??,waiting for someone who,is already here
autumn??,i count once again,tulip bulbs in the bag
the bus is late . . .,across the twilight river,the wheeling starlings
another morning,of mares tails,the wisp of a sigh
different carols,two drifters singing,for spare change
indian summer,the soccer net ripples,with a goal
remembering to let them,speak first,cosmos in the rain
change of seasons,i catch myself talking,to the wind
waiting room,someone whispers,?be morning soon?
an inchworm,grasping thin air,christmas morning
the old moon,everyone else,i?ve outlived
back to school,unlearning,the whole summer
the way,it feels to hold you,gibbous moon
still reflecting,upon creation,dragonfly eye
manna gumtrees,the sugar glider's belly,before the moon
chalk line,the screech,of infinity
schoolyard fence??,when did i end up,on this side?
a berry's curve,in a crow's beak,harvest moon
autumn sky,the paint worn thin,around the birdhouse door
watching the deer,watch my morning train,pass by
faces put on,at the family gathering??,watermelon rinds
pasture tree,its shade,shapes the herd
lonely is a place,inside,the call of a loon
bomb shelter??,my old belongings,huddle in the dark
night sky,our long look at,the past
sunrise,the full arc,of sprinklers
foxglove,a hummingbird adjusts,the breeze
concrete??,the jungle,within me
cold overnight,no way of knowing,where the loon will surface
the night's crickets,never silent,never seen
adjoining properties??,the cut,of the mower blade
afternoon tea,my mother,speaks her history
white butterfly,i?m also ready,to surrender
hayshed,the old iron roof,straining daylight
telephoto lens,the loon's call,comes into focus
summer commute,again a truckload,of crushed cars
trail signs??,pausing,to find myself
her eyes,say yes,fireflies
reflecting pool . . .,she tosses coins in,without looking
lake of stars,the taste,of polaris
spring,whistling through,a blade of grass
mild weather,their argument continues,outside
war veteran . . .,lobbing grain,at his hens
blue rain,a kayak frozen,in the slipstream
pool drain,the frogs,i couldn?t save
town gossip??,a rototiller's blade,turning up stones
army hospital,he finger-spells,i love you
buttercup meadow,a blackbird rises,at the twig's snap
recession??,poke salad growing,in a sidewalk crack
remembering . . .,a maya's feather,in dawn light
the almost,of crabapple buds,hazy sky
i will not leave??,apple blossoms collect,on my shoulders
incense for remembrance,water trickles down,the mountain side
matching exhales,with the sleeping dog . . .,bone coloured mist
soapsuds??,mother tells me how,she?d like to die
construction site,yellow ribbons,outline the future
puddle,in the umbrella,morning sun
childless,i measure time,by how the willow grows
easter fog lifting,a blowfly rises,from roadkill
cemetery bees,her last diploma,made of marble
you are here,the crisscross,of snow flurries
newly-fallen snow,the warmth,in a hare's paw
shortest day of the year,a peculiar voice,from each appliance
her last words,snow falling,on beech leaves
thirty below zero,losing my faith,in turtles
morning moon,a peregrine,begins its dive
mouse,the sound,is enough
soft moonlight,a second owl,answers
wings of grass,what remains,of her snow angel
streaming towards,the winter sunset,crematorium smoke
closing time,winter dusk slides down,the book drop
summer,the sound of rain,on canvas
moonlit,the pure white life,of the lily
dog days,the damp dishcloth,begins to smell
empty fairgrounds??,tent peg holes,half filled
the last light,in the hollers,of children
heat lightning,for all the right reasons,we wait
distant lightning,a blackbird tears flesh,from a ripe cherry
milkweed drift,i take my chair outside,to wait
i lift her,she lifts me,the four-year-old
overcast morning . . .,a yellow warbler,tests each branch
imagining,i?ve learned to dance??,first quince blossoms
more thunder,ants do ant things,to the peonies
honeymoon island??,she brushes sand off,the chessboard
at the campfire,another round,of ringtones
the marigold,in a plastic cup,mother's day
bobwhites,throughout the canyon,sunset colors
last day of school . . .,paper butterflies,unpinned from the board
skinnydipping??,river current streamlining,my body
nightfall . . .,blowing out,the marshmallow
the faint shine,of camellia buds . . .,winter moon
not a bride anymore,still the plum,blossoms
lambing,the smell of wet sweaters,fills the barn
spring downpour . . .,so many words,for rain
cattle lowing . . .,a clod of earth,clings to the fork
sunny wall,the marks of time,on my skin
the valley's browns,still edged with white,tinkle of the beck
spring rain,my garden,still in packets
more rain,i know i know i squawk back,at a jay
lilacs in bloom,a clerk washes,the town hall windows
north dakota border,slosh,of the greyhound toilet
my son's birthday,a red poinsettia leaf,flutters to the ground
clear cold night,my dog barks,at his own echo
restless night,the threadbare edge,of her quilt
winter blues??,the harmonica man plays,for wall street
moldering leaves??,the wind blows me,deeper into winter
winter sunlight,the birdsong that lingers,in evergreens
caught in a lie??,icicles shatter,on the stones
waiting,becomes living,late winter
tossed up,by churning waves,a painted open? sign
without you is better,oak leaves rattle,against the moon
driving to the airport??,the smell of dog,lingers on my hand
sea-scuffed cave,the peregrine's cries,lost to the firth
a sales call,my only conversation,autumn loneliness
father asks,if it's time to go??,cricket song
hometown,the hug,of the hills
october evening??,"somewhere, a scrub jay",keeps asking
death anniversary,prayer flags drip,in the rain
remains of pine,filling with twilight,a coming going world
sunrise over the lake,the pregnant woman,swims on her back
sound of rain,the faded e? on,the internet caf? keyboard
deep night,spending some time,putting stars together
rocky shore,waves break,the gannets? huddle
toothache??,a woodpecker comes,to stab the suet
tide life,spitting back part,of the beach
moon,the way it looked,when i was young
the feel of a stone,through the pickaxe handle??,forked lightning
drawing me,to the edge,canyon wren
cigarette stubs,in ashtrays,in old photos
an ant,carries more than its weight??,morning prayer
summer opera??,her fan stops fluttering,during the main aria
creak of floorboards,the musty shop smell,of ancient redwoods
the drought year,written in flies,on the river-bed
cliff dwellings,my perspiration salts,ancient stone
my 73rd summer,the shadows,of butterflies
dog days,the wind harp's,lost chord
chanting over . . .,the rustle of peepal leaves,in the temple
swelter . . .,the brick carrier's hod,heavy with shade
deserted street,the hot wind rolling,an empty can
morning mist,the squirrel,swaps poplars
spring rain,the cleaner everyone likes,comes to say goodbye
pink dianthus,two parasols bend,to the scent
one song,answered by another,ocotillo blooms
mango season,married long enough,to eat in silence
a silent stirring,in the wood anemones??,white butterfly
rush hour,the smell of green onions,on the cross-town bus
soft breeze,a hyacinth,fills me
skunk cabbage,i?ve decided,to say nothing
fossil forest,your cheek against mine,for a photo
scarred by skates,the spring ice,moans
slow train home,a man skims ecclesiastes,on his kindle
that yellow bird's back,how we end up,where we do
it must?ve happened before,a drop of spring rain,in my green tea
spring sun,i wait for the snake,to move
perennial . . .,the garden,i dream of
loblolly pine,the scent,of grandfather's diary
dandelions,all these clothes,that don?t fit
so lightly,a morning rainbow disappears,in the rice paddy
kite festival??,the startling red,of a cockscomb
a crow cleans its beak,on an ice-covered bough,early morning sun
her illness,beyond our care,winter birds
deep snow,hoses curled,under the sundeck
morning prayers,the suet cake,pecked thin
everything,we have in common,plum blossom rain
a nursing home blanket,over all her sharp edges??,midwinter
the difference,a sparrow makes??,bare branches
deep winter??,a seal skin tacked,to my neighbor's door
new moon??,my friend coming out,of her dark phase
do we all,mark time,with blossoms
a crow pecks,at something small and still . . .,autumn dunes
she salts the soup,without even tasting,??autumn sky
sculpture garden,the way the blackbird sings,from the metal tree
winter solstice,cranberries popping,in the saucepan
new year's eve,the lights of crab boats,evenly spaced
the uncarved faces,in the pumpkin fields,diagnosis day
autumn mist . . .,the homeland i know,only in dreams
nightfall,a freezing wind brings,the chimes of goat bells
a star,it's only,light years
each of us,with a story to tell??,winter stars
summer ends,the wallah takes down,the raincoat array
fine mist,he says frogs,i say crickets
kindergarten drama,the leafy sea dragon,sheds her sleeves
top down day,a yellow leaf,drifts in
the old ball field??,a turnstile,going nowhere
autumn twilight,the boarded up window,of the tree house
melancholy,runs in the family,sparrow song
heron in flight??,the rowing coach,claps out a rhythm
sunset clouds,the decoy's touch-ups,in a different hue
geese going gone . . .,the thought of filling,my father's shoes
shanty town??,the jagged edges,of moonlight
koi pond,how we imagine,immortality
nuclear disaster,the heads of state,share a cucumber
cyclone warning,the cracked red paint,glistens with rain
spring day,the cord zings back,into the vacuum
downwind,the breath,of lemon blossoms
butterfly,lingering on the breeze,her first kiss
village road . . .,the jingle of bullock carts,in the mist
spring day,announcement said,no flowers
progress . . .,the cobweb repaired where,it crosses the gate latch
dogwoods,the stench of,baby questions
dancing,above the hedgerow,just her hat
water,upon water,a spider into the bud
easter morning . . .,three silos,on the horizon
an eye,in the window,of a birdhouse
the pause,he takes on his flute??,spring rain
age 88,all the whatchamacallits,in the spring wind
third day of snow,neighborhood kids build,a rhinoceros
winter morning,two butterflies,warm the garden
narcissus . . .,my heartbeat races,towards its end
a setback,in her treatment,frost-tipped lavender
new minister . . .,gutters guide a spring rain,back to the earth
march snowmen??,picassos appearing,on front lawns
miles of silence,a chill on my thigh,when he changes gears
snowmelt,the caw of the crow returns,to the hickory
snowdrops surround,an empty snail shell,pale day moon
tsunami . . .,untangling,my knotted rosary
post-op,the holy medal's features,imprinted in my palm
hunter's moon,the gator's eyes,hold the light
more space,for the raven's voice,winter sky
cloud dragon,eating its own tail??,epiphany day
muted sunlight,the crisp corners,of the folded flag
last light,prying a pigeon,from the dog's mouth
frost-sparkled paddock,he digs the grave,a little deeper
winter solstice,reading glasses,to see myself
winter pear,my breath condenses,on the knife
autumn trees . . .,getting her to,do the talking
end of harvest,pulling out the leaves,of the table
secondhand bookshop,red wine stains,in the
autumn sun??,"map in hand, i search",for my grave site
urban planning . . .,a row of poplars,at ear-level
full moon,the scent of cocoa butter,on her baby bump
remnants of daylight,the wind rattles,with old mustard
mourning,the mask,the mime
the knife sharpener,on his bicycle??,falling leaves
fish scales,on the serrated knife,catching sunset
aspens,in a circle,twilight
wild mustard??,to all the wishes wished here,add this one of mine
revolution??,i slice the lemon,into itself
harvest moon,the circus disassembles,pole by pole
first day of school,my son brings home,his peach stone
summer stars,my children ask me,to name a favorite
a white feather,without a bird,flies by
urban sprawl,a huddle of hard hats,and a dead tree
too far away,to see the flag,full moon
fragrance of cedar,he tucks the twig,behind her ear
