Force and yielding meet,together: An attack,is half repulsed.
"Ah, goddess, on thy throne of tears and faint low","sighs, Weary at last to theeward come the feet that err, And empty",hearts grown tired of the world's vanities.
How fair this cool deep silence to,a wanderer Deaf with the roar of,winds along the open skies!
"Sweet, after sting and bitter","kiss of sea-water, The pale Lethean wine",within thy chalices!
(From the train between,"Bologna and Milan,",second class.
) Opposite,me two Germans,snore and sweat.
Through sullen,swirling gloom we jolt and,roar.
We have been here for,ever:  even yet A dim watch tells two,"hours, two aeons, more."
The windows are,tight-shut and slimy-wet With,a night's foetor.
There are two hours,more; Two hours to dawn and,Milan; two hours yet.
Opposite,me two Germans sweat,and snore.
One of,"them wakes, and spits, and",sleeps again.
The,darkness,shivers.
A wan light through,"the rain Strikes on our faces,",drawn and white.
"Somewhere A new day sprawls; and,","inside, the foul air Is chill, and damp,",and fouler than before.
"Out of the nothingness of sleep, The","slow dreams of Eternity, There was a thunder on","the deep: I came, because you called to me."
"I broke the Night's primeval bars, I","dared the old abysmal curse, And flashed through ranks of frightened",stars Suddenly on the universe!
The eternal,silences were broken; Hell,became Heaven as I passed.
-- What shall I give you,"as a token, A sign that","we have met, at last?"
"I'll break and forge the stars anew, Shatter",the heavens with a song; Immortal in my love for,"you, Because I love you, very strong."
"Then only in the empty spaces, Death,","walking very silently, Shall fear the glory of our",faces Through all the dark infinity.
"So, clothed about with perfect love, The","eternal end shall find us one, Alone above","the Night, above The dust of the dead gods, alone."
We leave this resting-place,Made fair by one another,for a while.
"Now, for a god-speed, one last mad","embrace; The long road then, unlit",by your faint smile.
and you,so far,away!
"Oh,",I'll,remember!
each crawling day Will pale a,"little your scarlet lips, each mile Dull the",dear pain of your remembered face.
Some day I shall rise and leave my friends And seek,"you again through the world's far ends, You whom I found so",fair (Touch of your hands and smell of your hair!
"), My only",god in the,days that were.
"My eager feet shall find you again, Though",the sullen years and the mark of pain Have changed you wholly; for,I shall know (How could I forget having loved you so?
"), In the sad half-light","of evening, The face that was",all my sunrising.
"), And I loved you before you were old","and wise, When the flame of youth was strong in your eyes, -- And",my heart is sick with memories.
"Death will find me, long before I tire",Of watching you; and swing me suddenly Into the shade,and loneliness and mire Of the last land!
"There, waiting patiently, One day, I think, I'll feel a","cool wind blowing, See a slow light across the Stygian tide, And hear","the Dead about me stir, unknowing, And tremble."
"-- And turn, and toss your","brown delightful head Amusedly, among",the ancient Dead.
I said I,splendidly loved,you; it's not true.
Such long swift,tides stir not,a land-locked sea.
On gods or fools the high risk,falls -- on you -- The clean clear bitter-sweet,that's not for me.
Love soars from,earth to ecstasies,unwist.
Love is flung,Lucifer-like from,Heaven to Hell.
Pleasure's,"not theirs, nor",pain.
"They doubt, and","sigh, And do not love",at all.
Of,these am,I.
or,that foul,you?
"But this the strange gods, who had","given so much, To have seen and known","you, this they might not do."
"One last shame's spared me, one",black word's unspoken; And I'm alone; and,you have not awoken.
"-- One moment,",what it is,to love.
And yet -- the best that either's,"known Will change, and wither, and be less, At last, than","comfort, or its own Remembrance."
And when some caress Tendered in habit,"(once a flame All heaven sang out to) wakes the shame Unworded, in the","steady eyes We'll have, -- THAT day, what shall we do?"
"Being so noble,",kill the two Who've reached their,second-best?
"Being wise, Break","cleanly off, and",get away.
Follow down,other windier skies,"New lures, alone?"
"Or shall we stay, Since this is all","we've known, content In the lean twilight of such day,","And not remember, not lament?"
"So I, from paint, stone, tale, and rhyme,","Stuffed love's infinity, And sucked all lovers of all",time To rarify ecstasy.
Helen's the hair shuts out from me,Verona's livid skies; Gypsy the lips I press;,and see Two Antonys in your eyes.
In a cool curving,world he lies And ripples,with dark ecstasies.
There slipping,"wave and shore are one, And",weed and mud.
And,all's,one.
"Gentle, embracing, quiet,","dun, The world he rests in, world he knows,",Perpetual curving.
"Space is no more,",under the mud; His bliss is older,than the sun.
Silent,and straight the waters,run.
"The lights, the cries, the","willows dim, And the dark",tide are one with him.
How,can,we find?
how,can we,rest?
"how can We,","being gods, win joy, or peace,",being man?
Love's,for,completeness!
"No perfection grows 'Twixt leg, and arm, elbow,","and ear, and nose, And joint, and socket; but unsatisfied Sprawling","desires, shapeless, perverse, denied."
"How can love triumph, how","can solace be, Where fever turns","toward fever, knee toward knee?"
And I,went,on.
"For if my echoing footfall slept, Soon a far",whispering there'd be Of a little lonely wind that crept From tree to,"tree, and distantly Followed me, followed me."
But the blue vaporous end of,"day Brought peace, and pursuit baffled quite,",Where between pine-woods dipped the way.
"I turned,",slipped in and,out of sight.
I trod,as quiet as,the night.
The pine-boles kept perpetual,hush; And in the boughs wind never,swirled.
I found a flowering lowly,"bush, And bowed, slid in, and sighed and curled, Hidden",at rest from all the world.
I was,"safe, and glad,",I knew!
Yet -- with cold heart,and cold wet brows,I lay.
And,the,dark fell.
There grew Meward a sound of shaken,"boughs; And ceased, above my intricate house; And","silence, silence, silence found me."
I felt the,unfaltering movement,creep Among the leaves.
They shed around me,"Calm clouds of scent, that I did",weep; And stroked my face.
I,fell,asleep.
"Breathless, we flung us","on the windy hill, Laughed in the","sun, and kissed the lovely grass."
"You said, ""Through glory and","ecstasy we pass; Wind, sun, and earth remain, the","birds sing still, When we are old, are old."
"""  ""And when we die All's over that is ours;","and life burns on Through other lovers, other lips,"" said I,","-- ""Heart of my heart, our heaven is now, is won!"
""" ""We are","Earth's best, that learnt her lesson",here.
Life,is our,cry.
We,have kept,the faith!
""" we said; ""We shall go",down with unreluctant tread,Rose-crowned into the darkness!
"Proud we were, And","laughed, that had such brave",true things to say.
-- And then you,"suddenly cried, and",turned away.
I dreamt I was in love again,"With the One Before the Last, And smiled to greet the pleasant",pain Of that innocent young past.
But I jumped to feel how sharp had,"been The pain when it did live, How the faded dreams",of Nineteen-ten Were Hell in Nineteen-five.
"The boy's woe was as keen and clear, The","boy's love just as true, And the One Before the Last,","my dear, Hurt quite as much as you."
Sickly I pondered how the lover,"Wrongs the unanswering tomb, And sentimentalizes",over What earned a better doom.
Gently he tombs the poor dim,"last time, Strews pinkish dust above, And","sighs, ""The dear dead boyish pastime!"
But THIS,"-- ah,",God!
""" -- Better oblivion hide dead true loves,","Better the night enfold, Than men, to eke the praise","of new loves, Should lie about the old!"
bitter,thoughts I had,in plenty.
But here's the worst of,"it -- I shall forget, in Nineteen-twenty, YOU",ever hurt abit!
"The stars, a jolly company, I","envied, straying late and lonely; And cried upon their","revelry: ""O white companionship!"
"You only In love, in","faith unbroken dwell, Friends radiant",and inseparable!
"But I, remembering, pitied","well And loved them, who, with lonely light, In empty","infinite spaces dwell, Disconsolate."
"For, all the night, I heard","the thin gnat-voices cry, Star to faint","star, across the sky."
"He wakes, who never","thought to wake again, Who held",the end was Death.
"He opens eyes Slowly, to",one long livid oozing plain Closed down by,the strange eyeless heavens.
He lies; And waits; and once in,timeless sick surmise Through the dead air heaves,"up an unknown hand, Like a dry branch."
I thought when,"love for you died,",I should die.
"Alone, most","strangely, I",live on.
Was Called Ambarvalia Swings the way still by,"hollow and hill, And all the world's a song; ""She's far,"" it sings me, ""but","fair,"" it rings me, ""Quiet,"" it laughs, ""and strong!"
spite of the miles and years between,"us, Spite of your chosen part, I do remember;",and I go With laughter in my heart.
So above the little folk that know,"not, Out of the white hill-town, High up I clamber; and",I remember; And watch the day go down.
"They'll call the news from hill to hill,","Dark and uncomforted, Earth and sky and the winds;",and I Shall know that you are dead.
"I shall not hear your trentals, Nor eat",your arval bread; For the kin of you will surely,do Their duty by the dead.
Their little dull greasy,"eyes will water; They'll paw you,",and gulp afresh.
They'll sniffle and,"weep, and their thoughts will creep Like",flies on the cold flesh.
"They will put pence on your grey eyes,","Bind up your fallen chin, And lay you straight, the fools",that loved you Because they were your kin.
"They will praise all the bad about you,","And hush the good away, And wonder how they'll do without","you, And then they'll go away."
"With snuffle and sniff and handkerchief,","And dim and decorous mirth, With ham and sherry, they'll",meet to bury The lordliest lass of earth.
The little dead hearts will tramp ungrieving,"Behind lone-riding you, The heart so high, the heart so living,",Heart that they never knew.
"I shall not hear your trentals, Nor","eat your arval bread, Nor with smug breath tell lies of",death To the unanswering dead.
With snuffle and sniff and,"handkerchief, The folk who loved you not Will bury","you, and go wondering Back home."
And,you will,rot.
"But laughing and half-way up to heaven,","With wind and hill and star, I yet shall keep, before","I sleep, Your Ambarvalia."
There was a damned,successful Poet; There was,a Woman like the Sun.
And,they,were dead.
They,did not know,it.
They did not,know their time,was done.
They did not know his hymns Were,"silence; and her limbs, That had served Love so","well, Dust, and a filthy smell."
So knee to knee they sped,"again, And laugh to laugh they ran, I'm","told, Across the streets of Hell ."
And then They suddenly felt the wind blow,"cold, And knew, so closely pressed, Chill air on lip and breast, And,","with a sick surprise, The emptiness of eyes."
"Here, where love's stuff is","body, arm and side Are stabbing-sweet",'gainst chair and lamp and wall.
In every touch more,intimate meanings hide; And flaming,brains are the white heart of all.
"Here, million pulses to one centre beat: Closed in by","men's vast friendliness, alone, Two can be drunk with solitude, and",meet On the sheer point where sense with knowing's one.
"though the woods are quiet,",and you've heard Night creep along,the hedges.
Never go Where tangled,"foliage shrouds the crying bird, And the","remote winds sigh, and waters flow!"
For moveless limbs no,"pity I crave, That",never were swift!
"Still all I prize, Laughter and thought and friends,",I have; No fool to heave luxurious sighs For,the woods and hills that I never knew.
The more,excellent,way's yet mine!
And you Flower-laden come to,"the clean white cell, And we talk as ever",-- am I not the same?
"With our hearts we love,","immutable, You without","pity, I without shame."
We talk as of old; as of old you go Out,"under the sky, and laughing, I know, Flit through the streets, your heart all",me; Till you gain the world beyond the town.
Then -- I fade from your,"heart, quietly; And your",fleet steps quicken.
The strong down Smiles you welcome there;,the woods that love you Close lovely and,conquering arms above you.
"O ever-moving,",O lithe,and free!
Fast in my linen prison I press,"On impassable bars, or emptily",Laugh in my great loneliness.
And still in the white neat bed I strive Most,"impotently against that gyve; Being less now than a thought, even,",To you alone with your hills and heaven.
I Hot through Troy's ruin Menelaus,"broke To Priam's palace, sword in hand, to sate On that adulterous",whore a ten years' hate And a king's honour.
"Through red death, and smoke, And cries, and then","by quieter ways he strode, Till the still",innermost chamber fronted him.
"He swung his sword, and crashed into","the dim Luxurious bower,",flaming like a god.
High sat white,"Helen, lonely",and serene.
He had not remembered that she,"was so fair, And that her neck curved down in such",a way; And he felt tired.
"He flung the sword away, And","kissed her feet, and knelt before her there, The",perfect Knight before the perfect Queen.
II So,far the,poet.
How should he behold,"That journey home, the long",connubial years?
He does not tell you how white Helen,"bears Child on legitimate child, becomes","a scold, Haggard with virtue."
Menelaus bold,"Waxed garrulous, and sacked a hundred",Troys 'Twixt noon and supper.
And her golden,voice Got shrill as he,grew deafer.
And,both,were old.
Often he wonders,"why on earth he went Troyward, or why",poor Paris ever came.
"Oft she weeps, gummy-eyed",and impotent; Her dry shanks twitch,at Paris' mumbled name.
So Menelaus nagged;,and Helen cried; And Paris slept on,by Scamander side.
How should,I,know?
The enormous wheels,of will Drove me cold-eyed on tired,and sleepless feet.
Night was void arms and,"you a phantom still, And day your far",light swaying down the street.
As never fool for,"love, I starved for you; My throat was dry and",my eyes hot to see.
Your mouth so lying was most,"heaven in view, And your remembered",smell most agony.
I felt your hot wrist shiver,And suddenly the mad victory I planned Flashed,"real, in your burning bending head."
My conqueror's blood was cool as a deep,river In shadow; and my heart beneath your hand,Quieter than a dead man on a bed.
Day after day you'll sit with him and note The,"greasier tie, the dingy wrinkling coat; As prettiness turns to","pomp, and strength to fat, And love, love, love to habit!"
"O lithe and free And lightfoot,","that the poor heart cries to see, That's how",I'll see your man and you!
"-- But you -- Oh, when","THAT time comes, you'll",be dirty too!
"My restless blood now lies a-quiver, Knowing that","always, exquisitely, This April twilight on the river",Stirs anguish in the heart of me.
"And all these, like a waiting lover,","Murmur and gleam, lift lustrous eyes, Drift close to me, and",sideways bending Whisper delicious words.
But I Stretch terrible,"hands, uncomprehending, Shaken with",love; and laugh; and cry.
And Hatred followed,"after, Shrilling madly",down the breeze.
"In peace from the wild heart of clamour, A","flower in moonlight, she was there, Was rippling down white ways",of glamour Quietly laid on wave and air.
Her passing,left no,leaf a-quiver.
Pale flowers,"wreathed her white,",white brows.
Her feet were,silence on the,"river; And ""Hush!"
""" she","said, between",the boughs.
In darkness the loud sea,"makes moan; And earth is shaken, and all evils",creep About her ways.
"Oh, now",to know you,sleep!
Your magic and your beauty and,"your strength, Like hills at noon or sunlight on a","tree, Sleeping prevail in earth and air."
In the sweet gloom above the brown and white,Night benedictions hover; and the winds of night Move,"gently round the room, and watch you there."
And still,the darkness ebbs about,your bed.
"Quiet, and","strange, and loving-kind,",you sleep.
And holy joy about,the earth is shed; And holiness,upon the deep.
"From the candles and dumb shadows,","And the house where love had died, I stole to the vast moonlight",And the whispering life outside.
"But I found no lips of comfort, No home","in the moon's light (I, little and lone and frightened In the unfriendly","night), And no meaning in the voices."
Far over the lands and,"through The dark, beyond the ocean, I",willed to think of YOU!
"For I knew, had you been with me I'd","have known the words of night, Found peace of heart, gone",gladly In comfort of that light.
But ever Desperately,I willed; Till all grew soft and,far And silent .
And suddenly I found you,"white and radiant, Sleeping quietly,",Far out through the tides of darkness.
"Love,"" they said,","""is King of Kings, And Triumph",is his crown.
Earth fades in flame before,"his wings, And Sun and",Moon bow down.
""" -- But that, I knew, would",never do; And Heaven,is all too high.
So whenever I,"meet a Queen, I said, I will",not catch her eye.
"Love,"" they said, and ""Love,"" they said, ""The gift",of Love is this; A crown of thorns about thy,"head, And vinegar to thy kiss!"
""" -- But Tragedy",is not for me; And I'm content,to be gay.
So whenever I,"spied a Tragic Lady, I",went another way.
And so I never feared to see,"You wander down the street, Or come across the",fields to me On ordinary feet.
"For what they'd never told me of,",And what I never knew; It was that all the,"time, my love, Love would be merely you."
Safe in the magic,"of my woods I lay, and watched",the dying light.
"Faint in the pale high solitudes,","And washed with rain and veiled by night, Silver",and blue and green were showing.
"The spell was broken, the key denied",me And at length your flat clear voice beside me,Mouthed cheerful clear flat platitudes.
You came and,quacked beside me,in the wood.
"You said, ""The",view from here is,very good!
""" You said, ""It's",nice to be alone,a bit!
""" And, ""How",the days are,drawing out!
"You said,","""The sunset's pretty, isn't",it?
I wish,-- I wish that you,were dead!
"Lip and eye Flashed on the glory, shone and","cried, Improvident, unmemoried; And fitfully and like",a flame The light of laughter went and came.
Proud in their careless,transience moved The changing,faces that I loved.
"Till suddenly, and","otherwhence, I looked upon",your innocence.
For lifted clear and still and strange From,the dark woven flow of change Under a vast and starless sky,I saw the immortal moment lie.
"One instant I,","an instant, knew",As God knows all.
And it,"and you I, above","Time, oh, blind!"
could see,In witless,immortality.
"I saw the marble cup; the tea, Hung on","the air, an amber stream; I saw the fire's unglittering","gleam, The painted flame, the frozen smoke."
Light was more,alive,than you.
"For suddenly, and","otherwhence, I looked on your",magnificence.
Dazed at length Human,"eyes grew, mortal strength Wearied; and",Time began to creep.
Change closed,about me,like a sleep.
Light glinted,on the eyes,I loved.
The cup,was,filled.
The,bodies,moved.
The drifting,petal came,to ground.
The laughter,chimed its perfect,round.
The broken,syllable,was ended.
"And I, so certain and so","friended, How could I cloud, or how distress, The heaven",of your unconsciousness?
Or shake at Time's,"sufficient spell, Stammering",of lights unutterable?
The eternal holiness,"of you, The timeless end, you never knew,","The peace that lay, the light that shone."
You never knew that,I had gone A million miles,"away, and stayed A million years."
The laughter played,Unbroken round me;,and the jest Flashed on.
And we that knew the,best Down wonderful hours,grew happier yet.
"I sang at heart, and talked, and","eat, And lived from laugh to laugh, I too,","When you were there, and you, and you."
In a flowered dell,"the Lady Venus stood,",Amazed with sorrow.
Down the morning one Far golden,horn in the gold of trees and sun Rang,out; and held; and died.
She thought the,wood Grew,quieter.
"Wing, and leaf,",and pool of light,Forgot to dance.
Dumb lay the unfalling stream;,Life one eternal instant rose in dream Clear out,"of time, poised on a golden height."
Till a swift,terror broke the,abrupt hour.
The gold waves purled,amidst the green above her;,And a bird sang.
"With one sharp-taken breath, By sunlit branches and","unshaken flower, The immortal limbs flashed to the human lover,",And the immortal eyes to look on death.
The damned,ship lurched,and slithered.
Quiet and quick My cold gorge rose; the long,"sea rolled; I knew I must think hard of something, or be sick;",And could think hard of only one thing -- YOU!
"You, you alone",could hold my fancy,ever!
And with you,"memories come,","sharp pain, and dole."
Now there's a,choice -- heartache or,tortured liver!
"A sea-sick body,",or a you-sick,soul!
Do I,forget,you?
Retchings twist and tie,"me, Old meat, good meals, brown","gobbets, up I throw."
Acrid return and,"slimy, The sobs and slobber",of a last years woe.
And still,the sick ship,rolls.
"'Tis hard, I tell ye,","To choose 'twixt love and nausea,",heart and belly.
All night the ways of Heaven,"were desolate, Long roads across a",gleaming empty sky.
"Outcast and doomed and driven, you and I,","Alone, serene beyond all love or hate, Terror or triumph,","were content to wait, We, silent and all-knowing."
Suddenly Swept through the heaven,"low-crouching from on high, One horseman, downward",to the earth's low gate.
"Oh, perfect from the ultimate","height of living, Lightly we turned, through wet woods","blossom-hung, Into the open."
"Down the supernal roads, With plumes a-tossing, purple","flags far flung, Rank upon rank, unbridled, unforgiving,",Thundered the black battalions of the Gods.
Through my heart's palace Thoughts unnumbered,"throng; And there, most quiet and, as a child, most wise,","High-throned you sit, and gracious."
"All day long Great Hopes gold-armoured, jester","Fantasies, And pilgrim Dreams, and little beggar","Sighs, Bow to your benediction, go their way."
And the grave jewelled,courtier Memories Worship and,"love and tend you, all the day."
"not now, when desire burns, and the","wind calls, and the suns of spring Light-foot dance in the woods,","whisper of life, woo me to wayfaring; Ah!"
"not now should you come, now when the road","beckons, and good friends call, Where are songs to","be sung, fights to be fought, yea!"
"and the best of all, Love,",on myriad lips fairer than,"yours, kisses you could not give!"
"Dearest, why should I","mourn, whimper, and whine, I",that have yet to live?
"Sorrow will I forget, tears for the best, love on","the lips of you, Now, when dawn in the blood wakes, and the sun laughs",up the eastern blue; I'll forget and be glad!
Still I abode strong,"in a golden dream,",Unrecaptured.
"and, in the","heart of it, End of","labouring, you!"
Therefore I kept,"ready the altar, lit","The flame, burning apart."
Face of my dreams,vainly in vision white Gleaming,"down to me, lo!"
For about midnight Whispers,"grew through the wood suddenly, strange cries in the","boughs above Grated, cries like a laugh."
Silent and black then through the,"sacred grove Great birds flew, as a dream,","troubling the leaves, passing at length."
Therefore I go; never to,"rest, or win Peace, and worship of you more, and the",dumb wood and the shrine therein.
"So light we were, so right we were, so","fair faith shone, And the way was laid so certainly, that, when","I'd gone, What dumb thing looked up at you?"
"Was it something heard, Or a sudden","cry, that meekly and without a word You broke the","faith, and strangely, weakly, slipped apart."
You gave in,"-- you, the proud of heart, unbowed",of heart!
"Was this, friend,",the end of all that,we could do?
And have you found,"the best for you,",the rest for you?
Did you learn,so suddenly,(and I not by!
") Some whispered story, that stole the glory from","the sky, And ended all the splendid dream, and made you go So","dully from the fight we know, the light we know?"
"the faith remains, and",I must pass Gay down the,"way, and on alone."
Under the grass You wait; the breeze,"moves in the trees, and stirs, and calls, And covers you","with white petals, with light petals."
Good,sleep to,you!
We have built,a house that is not for,Time's throwing.
We have gained a,peace unshaken by,pain for ever.
War,knows no,power.
"Safe shall be my going, Secretly armed against",all death's endeavour; Safe though all safety's lost; safe where men fall;,"And if these poor limbs die, safest of all."
"Blow out, you","bugles, over the",rich Dead!
There's none of these so lonely,"and poor of old, But, dying, has made us",rarer gifts than gold.
"Blow,","bugles,",blow!
"They brought us, for","our dearth, Holiness, lacked","so long, and Love, and Pain."
"Honour has come back, as a king, to earth, And",paid his subjects with a royal wage; And Nobleness walks in our,ways again; And we have come into our heritage.
These hearts were woven of,"human joys and cares, Washed marvellously","with sorrow, swift to mirth."
The years,had given them,kindness.
"Dawn was theirs,","And sunset, and the colours",of the earth.
"These had seen movement, and heard music; known Slumber",and waking; loved; gone proudly friended; Felt the quick stir of wonder;,sat alone; Touched flowers and furs and cheeks.
All,this is,ended.
There are waters blown,by changing winds to laughter And,"lit by the rich skies, all day."
"And after, Frost, with a","gesture, stays the waves that dance And",wandering loveliness.
"He leaves a white Unbroken glory,","a gathered radiance, A width, a","shining peace, under the night."
"If I should die, think only",this of me: That there's some corner of a foreign,field That is for ever England.
"Mamua, when our laughter ends, And","hearts and bodies, brown as white, Are dust about the doors of","friends, Or scent ablowing down the night, Then, oh!"
"then, the wise agree,",Comes our,immortality.
"Mamua, there",waits a land Hard for us,to understand.
"Out of time, beyond the sun, All","are one in Paradise, You and Pupure are","one, And Tau, and the ungainly wise."
"And my laughter, and","my pain, Shall home to the",Eternal Brain.
And there'll no more be one who dreams,"Under the ferns, of crumbling stuff, Eyes of illusion,","mouth that seems, All time-entangled human love."
And you'll no longer swing and sway,"Divinely down the scented shade, Where feet to Ambulation","fade, And moons are lost in endless Day."
How shall we wind these,"wreaths of ours, Where there are",neither heads nor flowers?
"-- but we'll be missing The palms, and sunlight,","and the south; And there's an end, I think, of kissing,",When our mouths are one with Mouth.
"'Tau here',","Mamua, Crown the","hair, and come away!"
Hear the calling of the,"moon, And the whispering scents that stray About",the idle warm lagoon.
"Hasten, hand in human hand, Down the dark, the flowered","way, Along the whiteness of the sand, And in the water's soft caress, Wash the","mind of foolishness, Mamua, until the day."
Spend the glittering moonlight there,Pursuing down the soundless deep Limbs that gleam and,"shadowy hair, Or floating lazy, half-asleep."
"Dive and double and follow after, Snare in flowers,","and kiss, and call, With lips that fade, and human laughter And faces","individual, Well this side of Paradise!"
There's little,comfort in,the wise.
"Love, in you, went passing by, Penetrative,","remote, and rare, Like a bird in the wide air, And, as the bird,",it left no trace In the heaven of your face.
In your stupidity,I found The sweet hush after,a sweet sound.
All about you was the light That dims the greying end,"of night; Desire was the unrisen sun, Joy the day not yet begun, With","tree whispering to tree, Without wind, quietly."
"Wisdom slept within your hair, And Long-Suffering","was there, And, in the flowing of your dress,",Undiscerning Tenderness.
"And when you thought, it seemed to me,","Infinitely, and like a sea, About the slight world you",had known Your vast unconsciousness was thrown.
O haven,without wave or,tide!
"Silence,",in which all songs,have died!
Holy,"book, where",hearts are still!
And home,at length under,the hill!
"O mother quiet,","breasts of peace, Where love itself",would faint and cease!
"Now, ere the unthinking silence on that strife Steals","down, I would cheat drowsy Death so far, My night shall be remembered",for a star That outshone all the suns of all men's days.
Shall I not crown them with immortal praise Whom I,"have loved, who have given me, dared with me High secrets, and in darkness",knelt to see The inenarrable godhead of delight?
Love is a,flame; -- we have beaconed,the world's night.
A city:,"-- and we have built it,",these and I.
An emperor:,-- we have taught the,world to die.
"Dear names, And",thousand other,throng to me!
"And these shall pass, Whatever passes not,","in the great hour, Nor all my passion, all my prayers,",have power To hold them with me through the gate of Death.
"They'll play deserter, turn with the traitor","breath, Break the high bond we made, and sell Love's trust And sacramented",covenant to the dust.
"But the best I've known, Stays here, and changes,","breaks, grows old, is blown About the winds of the world, and fades","from brains Of living men, and dies."
"O dear my loves, O faithless, once again This","one last gift I give:  that after men Shall know, and later lovers,","far-removed, Praise you, ""All these were lovely""; say, ""He loved."
""" Mataiea, 1914 Fish (fly-replete, in depth of June, Dawdling","away their wat'ry noon) Ponder deep wisdom, dark or clear, Each secret",fishy hope or fear.
"Fish say, they have their",Stream and Pond; But is there,anything Beyond?
"This life cannot be All,","they swear, For how unpleasant,",if it were!
"One may not doubt that, somehow, Good Shall come","of Water and of Mud; And, sure, the reverent eye must",see A Purpose in Liquidity.
"We darkly know,","by Faith we cry, The future is",not Wholly Dry.
Mud,unto,mud!
-- Death eddies near,-- Not here the appointed,"End, not here!"
"But somewhere,",beyond Space,and Time.
Is wetter,"water,",slimier slime!
"And there (they trust) there swimmeth One Who swam ere rivers were begun,","Immense, of fishy form and mind, Squamous, omnipotent, and kind; And under that","Almighty Fin, The littlest fish may enter in."
And in that Heaven,"of all their wish, There shall be","no more land, say fish."
"This I know, and",yet I know Doubts that will,not be denied.
For if the soul,"be not in place, What has laid",trouble in her face?
And if the spirit,"be not there, Why is fragrance",in the hair?
"""Oh love is fair, and love","is rare;"" my dear one she said, ""But love",goes lightly over.
"""  I bowed her foolish","head, And kissed her hair",and laughed at her.
Such a child was she;,"So new to love, so true to love, and",she spoke so bitterly.
I have peace to weigh your,"worth, now all is over, But if to praise","or blame you, cannot say."
"For, who decries the loved, decries",the lover; Yet what man lauds the,thing he's thrown away?
"Dear fool, pity",the fool who thought,you clever!
"Dear wisdom, do",not mock the fool,that missed you!
"Most fair, -- the blind",has lost your face,for ever!
"Most foul, -- how",could I see you while,I kissed you?
the poor love of fools and blind,"I've proved you, For, foul or lovely,",'twas a fool that loved you.
"Somewhile before the dawn I rose, and stept Softly","along the dim way to your room, And found you sleeping in the quiet","gloom, And holiness about you as you slept."
I knelt there; till your,waking fingers crept About,"my head, and held it."
I had rest Unhoped,"this side of Heaven, beneath",your breast.
I knelt a,"long time, still; nor",even wept.
It was great wrong you did me;,"and for gain Of that poor moment's kindliness,","and ease, And sleepy mother-comfort!"
"Child, you know How easily","love leaps out to dreams like these,",Who has seen them true.
And love that's wakened,so Takes all too long to,lay asleep again.
"Waikiki, October 1913",Today I have been,happy.
"The Pacific, October 1913 Warm",perfumes like a breath from vine and tree Drift down the,darkness.
"Plangent, hidden from eyes Somewhere",an 'eukaleli' thrills and cries And stabs with pain,the night's brown savagery.
"And dark scents whisper; and dim waves creep to me, Gleam like","a woman's hair, stretch out, and rise; And new stars burn into the ancient","skies, Over the murmurous soft Hawaian sea."
Down the blue night the unending columns press In,"noiseless tumult, break and wave and flow, Now tread the far South, or lift",rounds of snow Up to the white moon's hidden loveliness.
"Some pause in their grave wandering comradeless, And","turn with profound gesture vague and slow, As who would pray good for the","world, but know Their benediction empty as they bless."
They say that the Dead,"die not, but remain Near to the rich",heirs of their grief and mirth.
"I think they ride the calm mid-heaven, as these, In","wise majestic melancholy train, And watch the moon, and the still-raging seas,","And men, coming and going on the earth."
There the sure suns of these pale shadows move; There stand,the immortal ensigns of our war; Our melting flesh fixed Beauty,"there, a star, And perishing hearts, imperishable Love."
"Dear, we know only that we sigh, kiss,",smile; Each kiss lasts but the kissing; and grief goes over;,Love has no habitation but the heart.
on the dark flood we catch,"awhile, Cling, and are borne into",the night apart.
The laugh dies,"with the lips, 'Love' with",the lover.
"South Kensington -- Makaweli, 1913 Now that","we've done our best and worst, and parted, I would fill my mind with",thoughts that will not rend.
"I would think of a thousand things, Lovely","and durable, and taste them slowly, One after","one, like tasting a sweet food."
I have need,to busy my heart,with quietude.
"Love is a breach in the walls, a broken","gate, Where that comes in that shall not go again; Love sells",the proud heart's citadel to Fate.
They have,"known shame, who",love unloved.
Some,share,that night.
But they know love grows,"colder, Grows false and dull, that",was sweet lies at most.
Astonishment is no,"more in hand or shoulder, But darkens, and",dies out from kiss to kiss.
All this is,love; and all love,is but this.
"Heart, you are restless as a paper","scrap That's tossed down dusty pavements by the wind; Saying,","""She is most wise, patient and kind."
Come to,"her, come",to her!
She will,not,care.
"She'll smile to see me come,",So that I think all Heaven,in flower to fold me.
"She'll give me all I ask, kiss me and hold me,","And open wide upon that holy air The gates of peace,","and take my tiredness home, Kinder than God."
"But, heart,",she will not,care.
"Your hands, my dear, adorable, Your","lips of tenderness -- Oh, I've loved you faithfully","and well, Three years, or a bit less."
Thank,"God,",that's done!
"and I'll take the road, Quit of my youth","and you, The Roman road to Wendover By Tring and","Lilley Hoo, As a free man may do."
"For youth goes over, the joys that fly, The tears",that follow fast; And the dirtiest things we do must lie,Forgotten at the last; Even Love goes past.
"What's left behind I shall not find, The splendour","and the pain; The splash of sun, the shouting wind, And the brave","sting of rain, I may not meet again."
"But the years, that take the best away, Give something","in the end; And a better friend than love have they, For none to","mar or mend, That have themselves to friend."
I shall desire and I shall find,"The best of my desires; The autumn road, the mellow",wind That soothes the darkening shires.
And,"laughter, and",inn-fires.
